id,year,teams,total_pitchers,average_age,runs_per_game,ERA,games_played,games_finished,complete_game,shutouts,shutouts_team,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,BA_bip,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk,errors
90,1932,34,333,27.9,4.88,4.11,3045,1432,1504,162,165,205,27042.2,29193,14874,12346,1443,9058,355,10137,492,41,411,107319,1.414,0.286,9.7,0.5,3,3.4,1.12,3420
91,1931,22,242,28.8,4.84,4.13,2678,1354,1324,145,148,204,23754.1,25914,12962,10891,1143,8328,377,8801,430,42,364,104023,1.442,0.293,9.8,0.4,3.2,3.3,1.06,3361
92,1930,25,273,28,5.51,4.8,3043,1373,1440,123,124,252,26810,30971,16779,14290,1565,9258,275,10295,474,36,433,97219,1.501,0.303,10.4,0.5,3.1,3.5,1.11,3042
93,1929,29,325,28.7,5.31,4.54,3391,1461,1718,171,173,255,29785,33597,18007,15023,1562,10913,333,10434,611,44,447,112604,1.494,0.296,10.2,0.5,3.3,3.2,0.96,3760
94,1928,29,321,28.5,4.83,4.07,3235,1289,1644,176,176,259,28656,31009,15623,12973,1438,9633,308,9957,740,26,372,124789,1.418,0.29,9.7,0.5,3,3.1,1.03,4369
95,1927,31,337,28.4,4.84,4.02,3553,1421,1847,190,192,234,31362.2,34004,17205,13992,1126,10599,,10794,737,43,456,111876,1.422,0.29,9.8,0.3,3,3.1,1.02,4007
96,1926,32,335,27.8,4.83,4.07,3422,1568,1715,171,175,260,30092,32241,16529,13594,1330,10765,,10455,846,53,411,131192,1.429,0.289,9.6,0.4,3.2,3.1,0.97,4934
97,1925,32,348,27.8,5.24,4.56,3502,1249,1760,151,153,215,30933,34807,18345,15658,1169,10827,,10380,648,35,439,136187,1.475,0.294,10.1,0.3,3.2,3,0.96,3291
98,1924,33,357,27.2,4.9,4.1,3431,1502,1764,174,181,217,30319,33200,16812,13826,1060,9964,,10502,848,65,431,115437,1.424,0.292,9.9,0.3,3,3.1,1.05,4123
99,1923,30,330,27.5,4.99,4.05,3300,1499,1706,159,164,221,29314.1,32111,16483,13202,1355,9943,,10044,810,44,466,128024,1.435,0.293,9.9,0.4,3.1,3.1,1.01,4555
